Patient,Profile,Electrode,Threshold_uA,Rho,Axlambda
Young Patient (Good Retinal Health),young_healthy,A3,1.388671875,200,600
Young Patient (Good Retinal Health),young_healthy,B4,1.388671875,200,600
Young Patient (Good Retinal Health),young_healthy,C5,1.388671875,200,600
Young Patient (Good Retinal Health),young_healthy,D6,1.388671875,200,600
Young Patient (Good Retinal Health),young_healthy,E7,1.388671875,200,600
Typical Patient (Moderate Degeneration),typical_patient,A3,1.388671875,300,400
Typical Patient (Moderate Degeneration),typical_patient,B4,1.388671875,300,400
Typical Patient (Moderate Degeneration),typical_patient,C5,1.388671875,300,400
Typical Patient (Moderate Degeneration),typical_patient,D6,1.388671875,300,400
Typical Patient (Moderate Degeneration),typical_patient,E7,1.388671875,300,400
Advanced Degeneration Patient,advanced_degeneration,A3,1.388671875,500,200
Advanced Degeneration Patient,advanced_degeneration,B4,1.388671875,500,200
Advanced Degeneration Patient,advanced_degeneration,C5,1.388671875,500,200
Advanced Degeneration Patient,advanced_degeneration,D6,1.388671875,500,200
Advanced Degeneration Patient,advanced_degeneration,E7,1.388671875,500,200
Elderly Patient (Age-Related Changes),elderly_patient,A3,1.388671875,400,300
Elderly Patient (Age-Related Changes),elderly_patient,B4,1.388671875,400,300
Elderly Patient (Age-Related Changes),elderly_patient,C5,1.388671875,400,300
Elderly Patient (Age-Related Changes),elderly_patient,D6,1.388671875,400,300
Elderly Patient (Age-Related Changes),elderly_patient,E7,1.388671875,400,300
Focal Preservation Patient,focal_preservation,A3,1.388671875,150,800
Focal Preservation Patient,focal_preservation,B4,1.388671875,150,800
Focal Preservation Patient,focal_preservation,C5,1.388671875,150,800
Focal Preservation Patient,focal_preservation,D6,1.388671875,150,800
Focal Preservation Patient,focal_preservation,E7,1.388671875,150,800
